id,categoryid,name
1,1,Antigüedades
2,1,Arquitectónico y jardín
3,2,Directo del artista
4,2,Lotes al por mayor
5,3,Asientos de seguridad para autos
6,3,Artículos para bebé
7,4,"Libros de textos, educación"
8,4,Ficción y literatura
9,5,Construcción
10,5,Agricultura y silvicultura
11,6,Drones con cámaras
12,6,Binoculares y telescopios
13,7,Relojes inteligentes
14,7,Celulares y smartphones
15,8,Ropa para hombre
16,8,Ropa para mujer
17,9,En lingotes
18,9,Monedas: EE. UU.
19,10,Cómics
20,10,Relojes
21,11,Laptops y netbooks
22,11,"iPads, tablets y lectores electrónicos"
23,12,Audio portátil y audífonos
24,12,"Televisor, video y audio para el hogar"
25,13,Materiales para arte
26,13,Artes y artesanías para el hogar
27,14,Muñecas
28,14,Osos
29,15,Cintas VHS
30,15,DVD y Blu-ray
31,16,Motocicletas
32,16,Vehículos y camionetas
33,17,Memorabilia de películas
34,17,Autógrafos-original
35,18,Tarjetas de regalo de eBay
36,18,Tarjetas de regalo
37,19,"Suplementos alimenticios, nutrición"
38,19,Cuerpo y baño
39,20,Ropa de cama
40,20,Baño
41,21,Diamantes y gemas sueltos
42,21,Joyas de moda
43,22,CD
44,22,Casetes
45,23,Equipo
46,23,Guitarra
47,24,Gatos
48,24,Aves
49,25,Cerámica y porcelana
50,25,Vidrio
51,26,Terreno
52,26,Comerciales
53,27,Servicios de subastas de eBay
54,27,Servicios artísticos
55,28,Pesca
56,28,Ciclismo
57,29,Tarjetas
58,29,Autógrafos (original)
59,30,Canadá
60,30,Estados Unidos
61,31,Boletos para conciertos
62,31,Boletos para deportes
63,32,Juguetes clásicos
64,32,Figuras de acción
65,33,Alquiler de automóviles
66,33,Línea aérea
67,34,Consolas de videojuego
68,34,Videojuegos
69,35,Otros
70,35,Solo para adultos
71,1,Antigüedades de Asia
72,1,Libros y manuscritos
73,1,Artes decorativas
74,1,Etnográfico
75,1,Muebles
76,1,Hogar y chimeneas
77,1,Linos y textiles (antes de 1930)
78,1,"Mapas, atlas y globos terráqueos"
79,1,Marítimo
80,1,"Mercantil, comercio y fábricas"
81,1,Instrumentos musicales (antes de 1930)
82,1,Épocas y estilos
83,1,Primitivos
84,1,Restauración y cuidado
85,1,Alfombras y tapetes
86,1,Ciencia y medicina (antes de 1930)
87,1,Costura (antes de 1930)
88,1,Plateado
89,1,Réplicas de antigüedades
90,1,Otros
91,2,Arte de anticuarios y revendedores
92,3,Seguridad y salud del bebé
93,3,Baño y aseo
94,3,Pañales
95,3,Alimentación
96,3,Recuerdos y anuncios de nacimiento
97,3,Ropa de cama para niños
98,3,Decoración de habitaciones de bebé
99,3,Muebles para bebés
100,3,Dejar los pañales
101,3,Coches para bebés
102,3,Accesorios para coches
103,3,Juguetes para bebés
104,3,Otros
105,4,Accesorios
106,4,Antigüedades y piezas de colección
107,4,Libro en audio
108,4,Catálogos
109,4,Niños y adultos jóvenes
110,4,Libros de cocina
111,4,Publicaciones anteriores de revistas
112,4,No ficción
113,4,Otros
114,5,Equipo eléctrico y de prueba
115,5,Combustible y energía
116,5,Cuidado de salud y laboratorio
117,5,Equipo pesado
118,5,Accesorios de equipo pesado
119,5,Piezas y accesorios de equipo pesado
120,5,Equipo ligero y herramientas
121,5,Manufactura y metalurgia
122,5,Suministro industrial y MRO
123,5,Oficina
124,5,Empaque y envío
125,5,Artes gráficas y de impresión
126,5,Restaurante y catering
127,5,Sitios en internet y negocios en venta
128,5,Otros
129,6,Cámara de video
130,6,Cámaras digitales
131,6,Accesorios de cámaras y fotografía
132,6,Marcos de fotos digitales
133,6,Fotografía de película
134,6,Flashes y accesorios
135,6,Lentes y filtros
136,6,Iluminación y estudio
137,6,Manuales y guías
138,6,Piezas y herramientas de repuesto
139,6,Trípodes y soportes
140,6,Edición y producción de video
141,6,Fotografías y películas vintage
142,6,Lotes al por mayor
143,6,Otros
144,7,Accesorios para teléfonos celulares
145,7,Teléfonos con display
146,7,Tarjetas SIM y tarjetas telefónicas
147,7,Piezas y herramientas de repuesto
148,7,Otros
149,8,Ropa de infantes y bebés
150,8,"Vestuario, zapatos y accesorios de niños"
151,8,"Disfraces, representación, teatro"
152,8,Ropa étnica y cultural
